profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,fake
0,0.74,0,0.46,1,14,0,0,3,56,882,1
0,0.9,0,0.12,1,7,0,0,12,45,1752,1
1,0.24,3,0.0,0,85,0,1,640,9039,137,0
1,0.83,1,0.42,1,20,0,0,20,82,1851,1
1,0.3,4,0.04,0,58,0,1,502,6917,762,0
1,0.2,2,0.07,0,122,0,1,598,2766,956,0
1,0.02,4,0.07,0,54,0,0,286,5350,844,0
0,0.55,1,0.37,1,16,0,0,6,73,1865,1
1,0.2,4,0.01,1,26,1,1,849,8566,161,0
0,0.86,0,0.42,1,3,0,1,10,35,870,1
1,0.16,1,0.03,0,47,0,1,296,3708,670,0
1,0.99,1,0.03,0,0,0,1,12,23,257,1
1,0.16,4,0.04,0,69,1,0,871,2248,781,0
0,0.6,0,0.35,1,16,0,0,2,44,1613,1
0,0.62,1,0.29,1,2,0,1,19,95,243,1
0,0.88,1,0.2,0,17,1,0,1,61,468,1
1,0.02,1,0.03,0,57,1,1,540,9911,774,0
1,0.05,3,0.03,0,62,1,0,824,2654,970,0
1,0.07,2,0.09,0,67,0,1,258,2309,218,0
1,0.08,1,0.1,0,60,1,0,411,8005,184,0
0,0.54,1,0.41,1,11,1,1,0,83,758,1
0,0.58,1,0.39,1,5,0,0,16,54,894,1
1,0.18,1,0.03,0,61,1,1,466,6127,328,0
0,0.68,0,0.35,1,4,0,0,5,91,1798,1
0,0.96,1,0.18,1,15,0,1,13,65,1087,1
0,0.6,1,0.1,1,3,0,1,10,42,206,1
1,0.21,4,0.05,0,90,0,1,187,8162,314,0
1,0.09,4,0.08,0,29,0,1,101,1266,731,0
1,0.03,1,0.04,0,120,0,1,589,4186,630,0
1,0.72,1,0.13,1,20,0,0,11,26,126,1
1,0.22,1,0.04,1,47,0,0,137,9438,318,0
1,0.12,1,0.01,0,22,0,1,824,4351,793,0
1,0.0,4,0.05,0,44,1,1,314,6401,777,0
1,0.03,4,0.07,0,88,1,0,70,4590,350,0
0,0.66,0,0.07,1,9,0,0,14,75,1512,1
1,0.13,1,0.04,0,130,1,1,684,3713,787,0
0,0.64,0,0.17,1,10,0,1,2,27,1938,1
0,0.54,0,0.32,0,15,0,1,3,84,1238,1
0,0.85,1,0.16,1,13,0,0,0,78,957,1
0,0.62,0,0.29,1,18,0,0,14,100,1528,1
0,0.6,0,0.27,1,7,0,0,6,98,907,1
0,0.98,1,0.44,0,15,0,0,9,74,814,1
1,0.24,3,0.07,1,42,0,0,367,4970,913,0
1,0.23,3,0.03,1,109,0,1,897,3740,936,0
1,0.06,1,0.08,0,32,1,0,997,9079,374,0
0,0.88,1,0.21,1,10,0,1,4,13,599,1
1,0.04,1,0.01,0,74,1,0,862,7947,902,0
1,0.8,1,0.16,1,9,0,1,1,47,1743,1
0,0.56,1,0.45,1,2,0,0,0,19,1693,1
1,0.11,4,0.07,0,56,1,1,704,8275,285,0
0,0.9,1,0.03,1,6,0,0,19,90,117,1
1,0.91,0,0.43,1,16,0,1,3,57,1025,1
1,0.24,1,0.04,0,87,1,1,106,2525,789,0
1,0.86,0,0.23,0,18,0,1,7,59,1879,1
1,0.21,3,0.07,0,122,1,1,604,9852,660,0
0,0.87,1,0.46,1,8,0,1,15,67,695,1
1,0.15,3,0.01,0,109,1,0,982,8119,839,0
0,0.97,1,0.01,0,12,0,0,12,25,627,1
0,0.79,1,0.46,1,12,0,0,6,50,1447,1
1,0.07,3,0.03,0,32,1,0,68,8068,538,0
0,0.97,0,0.25,1,19,0,0,9,27,550,1
0,0.76,0,0.41,0,14,0,0,12,93,701,1
1,0.09,1,0.05,0,120,1,1,608,8883,386,0
1,0.05,4,0.02,0,22,1,1,557,509,690,0
1,0.91,1,0.08,1,18,0,0,4,89,1329,1
0,0.82,1,0.43,1,9,0,0,13,33,736,1
0,0.99,0,0.3,1,18,1,1,12,38,802,1
1,0.16,3,0.03,0,144,0,0,50,2934,745,0
1,0.19,4,0.02,0,100,1,1,66,8936,441,0
1,0.3,1,0.08,0,127,0,1,988,4800,495,0
1,0.53,1,0.37,0,13,0,0,11,28,1577,1
0,0.59,1,0.44,1,15,0,0,11,33,1978,1
1,0.74,1,0.34,1,20,0,0,19,55,1208,1
0,0.6,0,0.46,0,4,0,0,7,13,571,1
0,0.92,1,0.14,1,16,0,0,4,86,1019,1
0,0.68,0,0.28,1,3,0,0,1,31,1832,1
0,0.78,1,0.11,0,4,0,0,2,10,710,1
1,0.08,1,0.08,1,31,0,0,218,1693,151,0
1,0.8,1,0.37,1,5,0,0,11,58,570,1
0,0.86,0,0.4,1,1,0,0,6,65,713,1
1,0.28,1,0.06,0,77,0,1,854,6243,468,0
0,0.63,0,0.47,1,18,0,0,20,41,165,1
0,0.57,1,0.44,1,8,0,0,8,62,1835,1
1,0.93,1,0.43,1,7,0,0,14,89,1146,1
1,0.66,0,0.05,1,19,0,0,7,36,1668,1
1,0.06,1,0.08,0,52,1,1,988,8266,137,0
0,0.57,1,0.43,1,20,0,0,15,86,1860,1
1,0.04,2,0.08,0,86,0,1,821,3431,493,0
0,0.77,0,0.06,1,13,1,0,8,23,1164,1
1,0.71,0,0.45,0,16,0,0,19,89,1355,1
1,0.24,1,0.08,0,127,0,1,489,2933,883,0
1,0.99,0,0.09,0,18,0,0,19,81,174,1
1,0.21,4,0.09,0,58,0,1,774,2140,544,0
1,0.13,2,0.07,0,41,1,1,370,2574,712,0
0,0.82,1,0.4,1,0,0,0,20,19,1256,1
0,0.75,0,0.46,0,5,0,1,3,72,677,1
0,0.63,1,0.05,1,19,0,1,8,82,695,1
1,0.17,4,0.06,0,139,0,1,688,6991,373,0
1,0.52,1,0.28,1,4,0,1,3,31,1247,1
0,0.74,0,0.02,1,17,0,0,8,99,1360,1
0,0.64,0,0.19,1,6,0,1,0,48,1987,1
0,0.85,1,0.26,1,17,0,0,0,17,1051,1
1,0.17,4,0.08,1,46,1,1,815,2597,908,0
1,0.27,3,0.02,1,41,1,0,151,7475,577,0
1,0.12,4,0.04,0,85,1,1,325,1843,236,0
1,0.01,2,0.1,0,86,1,1,407,7461,865,0
1,0.88,0,0.29,1,11,0,1,6,92,729,1
0,0.84,1,0.14,1,20,0,0,19,36,1713,1
1,0.26,3,0.09,0,33,1,1,867,4694,527,0
0,0.8,1,0.22,0,20,0,0,6,35,865,1
1,0.05,1,0.03,0,46,0,1,995,2872,598,0
1,0.08,3,0.02,1,125,0,1,214,1723,717,0
1,0.74,1,0.45,1,1,0,0,2,13,687,1
1,0.16,2,0.07,0,33,0,0,990,8536,336,0
1,0.87,1,0.13,0,7,1,0,16,11,356,1
0,0.83,1,0.47,0,16,0,0,17,86,880,1
1,0.02,1,0.09,0,80,1,1,154,3139,540,0
0,0.81,1,0.42,1,5,0,0,4,18,429,1
1,0.1,4,0.04,1,62,1,1,504,1982,950,0
1,0.24,3,0.08,0,38,0,1,396,4494,822,0
1,0.1,3,0.0,0,95,1,0,312,7489,408,0
0,0.77,1,0.13,0,11,0,1,0,39,233,1
1,0.66,0,0.41,0,16,0,1,14,11,1675,1
0,0.78,0,0.09,1,10,0,0,17,30,576,1
0,0.71,1,0.41,1,2,0,1,14,34,1846,1
0,0.61,0,0.02,1,16,1,0,1,87,581,1
1,0.27,1,0.04,1,123,0,0,748,4718,672,0
1,0.18,4,0.02,1,38,0,1,980,471,350,0
1,0.11,2,0.03,0,145,1,1,418,9158,262,0
0,0.84,1,0.09,1,18,0,0,20,68,1073,1
1,0.04,1,0.01,0,126,1,1,769,3281,897,0
1,0.21,1,0.01,1,112,1,1,729,2540,557,0
1,0.26,2,0.04,0,94,1,1,425,1554,543,0
0,0.53,0,0.39,1,2,0,1,18,42,940,1
1,0.19,2,0.05,0,44,0,0,288,8675,246,0
1,0.27,4,0.03,0,140,1,1,256,1892,273,0
0,0.58,1,0.38,0,0,0,0,20,74,1870,1
0,0.85,1,0.19,1,8,0,1,20,94,1213,1
1,0.1,4,0.0,1,121,0,1,958,2458,685,0
0,0.99,1,0.14,1,2,0,0,2,69,563,1
0,0.86,1,0.42,1,15,0,0,5,60,1524,1
0,0.56,0,0.11,1,19,0,1,4,90,904,1
1,0.06,3,0.03,0,143,0,0,285,8981,607,0
1,0.26,2,0.04,0,97,0,1,328,8831,754,0
0,0.85,1,0.29,1,13,0,1,5,69,1965,1
0,0.77,1,0.14,1,20,0,0,11,89,1727,1
0,0.51,1,0.34,1,4,1,1,8,91,136,1
0,0.65,1,0.25,1,18,0,1,16,91,1923,1
1,0.01,4,0.02,0,71,0,1,860,2335,956,0
1,0.9,0,0.3,1,16,0,0,15,47,255,1
0,0.91,0,0.3,0,16,0,0,16,55,1293,1
1,0.13,1,0.05,0,31,0,0,231,7816,628,0
1,0.64,1,0.22,1,9,0,1,16,54,1107,1
0,0.86,1,0.14,1,10,0,1,18,75,1451,1
1,0.23,4,0.09,0,114,1,1,223,478,618,0
0,0.74,0,0.17,0,14,0,0,3,70,116,1
1,0.77,1,0.34,1,15,0,0,18,62,1667,1
0,0.56,1,0.14,1,9,0,0,5,80,1287,1
1,0.11,1,0.03,1,43,0,0,288,3920,776,0
1,0.15,1,0.03,0,98,0,1,155,5635,685,0
0,0.7,1,0.02,0,17,0,0,6,45,963,1
1,0.21,1,0.01,0,128,0,0,503,1420,169,0
0,0.73,1,0.13,1,14,1,0,18,16,1369,1
1,0.71,1,0.47,0,19,0,1,13,24,295,1
0,0.84,0,0.1,1,11,0,1,15,11,1391,1
1,0.25,1,0.09,0,105,1,1,333,3087,993,0
1,0.05,4,0.01,0,52,1,0,937,3673,801,0
1,0.92,0,0.41,1,18,0,0,16,52,443,1
1,0.05,3,0.02,0,89,0,1,661,6895,793,0
0,0.56,0,0.48,1,19,1,0,16,21,847,1
1,0.09,3,0.09,0,59,1,0,888,7100,737,0
1,0.67,1,0.02,1,20,0,0,2,49,1918,1
1,0.8,1,0.0,1,16,0,0,9,24,1748,1
1,0.2,4,0.08,0,43,0,1,259,4701,604,0
1,0.2,3,0.03,0,82,0,0,251,3298,974,0
0,0.89,1,0.35,1,1,0,1,10,20,1481,1
0,0.81,1,0.28,0,4,0,0,10,48,1979,1
1,0.13,1,0.01,0,80,0,1,218,9364,684,0
1,0.88,0,0.43,1,5,0,1,1,13,686,1
0,0.82,0,0.02,1,5,0,1,17,70,1609,1
1,0.18,4,0.1,0,60,0,0,915,2126,398,0
0,0.62,0,0.02,0,3,0,1,5,47,1860,1
1,0.15,1,0.09,0,102,1,1,663,9862,300,0
1,0.6,1,0.29,0,11,0,0,14,22,171,1
0,0.9,0,0.22,1,15,0,0,8,29,673,1
1,0.04,2,0.06,0,33,1,1,522,3467,232,0
0,0.96,0,0.17,1,14,0,0,3,19,1137,1
1,0.65,1,0.47,1,9,0,1,0,38,710,1
0,0.53,1,0.2,0,1,0,0,4,88,1917,1
1,0.3,2,0.1,0,34,1,1,356,223,990,0
1,0.73,1,0.45,1,20,0,0,4,64,1148,1
0,0.67,0,0.27,1,10,0,1,14,54,1575,1
0,0.73,0,0.14,1,17,0,0,12,79,1119,1
1,0.04,4,0.08,0,119,0,1,471,709,699,0
0,0.91,0,0.19,1,8,0,0,11,41,1572,1
1,0.16,3,0.02,1,134,0,1,541,4414,557,0
1,0.16,2,0.1,0,131,1,1,499,4018,986,0
0,0.83,1,0.42,1,8,0,1,17,36,1305,1
1,0.13,2,0.02,0,135,1,0,530,531,405,0
1,0.25,2,0.09,0,99,1,0,894,4700,132,0
1,0.97,0,0.48,1,20,0,0,12,57,883,1
1,0.14,4,0.05,0,90,1,1,305,9432,982,0
1,0.87,0,0.37,1,17,0,0,20,87,289,1
1,0.91,1,0.3,0,5,0,0,6,45,1486,1
0,0.98,1,0.12,1,13,0,0,15,54,1492,1
0,0.74,1,0.35,0,16,0,0,2,94,1058,1
1,0.17,4,0.01,0,143,1,1,422,8947,378,0
1,0.82,0,0.42,1,19,0,0,15,68,1266,1
1,0.19,2,0.06,0,112,1,1,923,7251,277,0
0,0.55,0,0.47,1,3,0,1,4,31,855,1
1,0.07,4,0.01,0,42,0,1,906,5293,880,0
0,0.71,1,0.05,0,4,0,1,3,88,102,1
1,0.28,4,0.07,1,77,1,1,132,4256,134,0
1,0.77,0,0.37,0,13,1,1,19,76,585,1
1,0.08,1,0.09,1,114,0,0,306,975,822,0
1,0.16,1,0.09,0,35,1,1,336,6079,998,0
0,0.99,0,0.15,1,5,0,0,8,22,1243,1
0,0.77,0,0.16,0,18,0,1,17,75,1951,1
1,0.04,4,0.05,0,70,0,1,973,2576,364,0
0,0.73,1,0.09,1,14,0,1,17,49,1692,1
0,0.61,1,0.07,1,3,0,0,1,36,830,1
0,0.67,0,0.29,1,1,0,0,15,68,372,1
0,0.6,1,0.12,1,17,0,0,3,35,405,1
0,0.86,0,0.16,1,10,0,1,18,65,1245,1
1,0.21,3,0.04,0,50,1,1,487,4348,753,0
0,0.58,0,0.05,0,18,0,0,20,41,1964,1
0,0.73,0,0.14,1,4,0,1,12,91,140,1
1,0.08,1,0.07,0,77,0,1,978,5824,870,0
0,0.57,0,0.38,1,16,0,0,3,58,1131,1
1,0.11,1,0.02,0,28,1,0,271,4194,965,0
0,0.63,1,0.26,1,20,0,1,5,59,457,1
1,0.21,1,0.07,0,137,0,1,896,1192,317,0
1,0.16,2,0.08,0,102,1,1,671,1543,733,0
0,0.69,0,0.19,1,1,1,0,6,99,414,1
1,0.15,4,0.09,0,99,1,1,727,5013,640,0
1,0.08,2,0.05,0,150,0,1,418,4102,574,0
1,0.15,2,0.02,0,119,0,1,663,9524,759,0
1,0.06,2,0.08,0,147,1,1,551,5006,959,0
1,0.71,0,0.19,1,9,0,1,16,87,1547,1
1,0.78,0,0.46,1,6,0,1,12,46,556,1
1,0.03,1,0.03,0,123,1,1,120,3175,549,0
1,0.13,3,0.02,0,32,1,1,479,8083,688,0
1,0.24,3,0.07,0,73,1,1,661,4005,991,0
1,0.23,4,0.09,1,110,0,0,784,5119,162,0
1,0.12,1,0.07,0,54,1,0,99,9921,924,0
1,0.92,0,0.34,1,5,0,0,18,26,319,1
0,0.71,1,0.09,1,10,1,1,11,77,1565,1
0,0.79,0,0.26,1,6,0,1,19,77,1334,1
1,0.18,1,0.06,0,102,0,1,627,4838,294,0
0,0.86,0,0.35,1,20,0,0,3,22,1901,1
0,0.91,1,0.29,1,2,0,0,5,81,1257,1
1,0.25,2,0.07,0,71,1,0,835,6024,266,0
0,0.62,0,0.26,1,7,0,1,12,75,1077,1
1,0.9,0,0.26,0,6,0,0,6,26,546,1
1,0.27,1,0.06,1,80,1,1,866,348,775,0
1,0.78,0,0.02,0,11,0,0,19,48,1429,1
1,0.89,1,0.18,1,14,0,1,0,37,1373,1
0,0.74,0,0.32,1,16,0,1,6,43,1869,1
0,0.62,0,0.22,1,9,0,1,14,79,983,1
1,0.18,2,0.09,0,72,0,0,348,6960,546,0
1,0.18,2,0.09,0,97,0,0,921,4572,694,0
1,0.87,1,0.3,1,11,0,0,13,14,1806,1
1,0.56,0,0.38,1,16,0,1,17,85,769,1
0,0.55,0,0.38,1,14,0,0,8,73,1193,1
1,0.03,1,0.02,0,94,0,0,185,1442,341,0
1,0.13,3,0.06,0,99,0,0,789,3408,153,0
1,0.27,1,0.04,1,64,1,1,889,5227,550,0
1,0.1,3,0.09,0,54,1,0,952,369,151,0
1,0.11,4,0.05,0,63,0,0,960,3186,117,0
1,0.64,1,0.07,0,2,0,0,2,20,1028,1
1,0.19,2,0.09,0,122,1,1,928,9456,509,0
0,0.9,0,0.16,0,8,0,0,6,53,434,1
1,0.02,3,0.08,0,81,1,0,587,3970,606,0
1,0.22,3,0.06,0,73,0,1,614,6399,710,0
1,0.16,1,0.06,0,101,1,1,418,8566,822,0
1,0.0,4,0.07,0,29,0,1,919,8893,681,0
0,0.72,0,0.16,1,15,0,1,19,93,271,1
0,0.65,1,0.29,1,9,0,0,15,65,959,1
0,0.6,1,0.17,1,18,0,0,20,97,784,1
0,0.51,1,0.07,0,0,0,1,17,25,659,1
0,0.53,0,0.33,1,9,0,1,20,84,1625,1
0,0.74,1,0.48,1,14,0,1,7,80,1770,1
1,0.1,4,0.02,0,47,1,1,666,1198,227,0
1,0.57,1,0.37,1,12,0,0,15,76,209,1
1,0.61,0,0.07,1,2,0,0,14,31,1822,1
1,0.29,1,0.05,0,26,1,0,713,9218,947,0
1,0.29,4,0.0,0,112,1,1,570,8211,378,0
1,0.05,2,0.08,0,99,1,0,869,6983,934,0
0,0.66,1,0.14,1,13,0,1,3,10,1447,1
0,0.58,1,0.44,1,5,0,0,12,54,1761,1
1,0.1,2,0.07,0,69,0,1,773,4329,122,0
1,0.1,4,0.01,0,121,1,1,755,2919,943,0
1,0.11,2,0.05,1,53,1,1,430,3690,722,0
1,0.3,3,0.06,1,129,0,1,894,1362,944,0
1,0.11,4,0.08,0,77,0,1,247,370,344,0
0,0.81,1,0.45,1,13,0,0,17,53,733,1
0,0.85,0,0.14,1,20,0,0,9,59,564,1
1,0.24,4,0.05,0,142,0,0,680,9609,563,0
1,0.08,2,0.01,0,93,0,0,543,956,939,0
1,0.66,1,0.45,1,16,0,0,17,49,1802,1
1,0.0,1,0.01,0,30,1,0,899,1337,247,0
1,0.14,4,0.09,0,117,0,1,517,7745,487,0
1,0.25,4,0.04,0,71,1,1,324,643,903,0
1,0.26,1,0.09,0,113,0,1,661,9040,883,0
0,0.58,0,0.31,1,0,1,1,7,66,781,1
1,0.15,3,0.09,1,61,0,0,835,4778,479,0
0,0.81,1,0.37,1,18,0,0,15,21,303,1
1,0.5,0,0.48,1,7,0,0,18,70,1909,1
1,0.66,0,0.08,1,20,0,0,8,68,403,1
1,0.11,3,0.02,0,132,0,1,213,5324,950,0
1,0.58,1,0.3,1,2,0,1,7,88,1022,1
1,0.17,2,0.09,0,128,1,1,269,5396,180,0
0,0.56,1,0.39,1,6,0,0,13,96,1271,1
0,0.68,1,0.02,1,7,0,0,13,62,1674,1
0,0.62,0,0.1,0,13,0,1,3,67,572,1
0,0.72,1,0.08,1,20,0,0,14,41,1287,1
1,0.51,1,0.37,1,19,0,0,15,78,671,1
1,0.19,1,0.06,0,62,1,1,553,1705,877,0
